Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
bodyfat,HGARF,0,"57,14,8, 3, 4,0.6343547793680709,0.6287575481900963",0.980392157,0.980392157,0.018518519,0.981176471,0.998461538,0.971285403,2.429421186,0.001923084
bodyfat,AdaBoost,0,"276,1.194788973216529",0.980392157,0.980392157,0.018518519,0.981176471,0.98,0.971285403,0.001424074,0.000401497
bodyfat,HGARF,1,"85,14,8, 3, 4,0.18131102449044428,0.23336362444144626",1,1,0,1,1,1,1.962626934,0.001919031
bodyfat,AdaBoost,1,"200,0.7963953545159743",1,1,0,1,1,1,0.001428127,0.000398636
bodyfat,HGARF,2,"93,14,8, 3, 4,0.4884652498906994,0.5678726188530534",1,1,0,1,1,1,2.352280855,0.00190258
bodyfat,AdaBoost,2,"180,1.388433537210272",1,1,0,1,1,1,0.001432657,0.000402451
bodyfat,HGARF,3,"63,14,8, 3, 4,0.589449445428882,0.9945530271627647",1,1,0,1,1,1,2.577209234,0.001892567
bodyfat,AdaBoost,3,"376,0.6418004838801579",1,1,0,1,1,1,0.001426458,0.000398874
bodyfat,HGARF,4,"94,14,8, 3, 4,0.6113014432100867,0.6850019780554482",1,1,0,1,1,1,2.467895746,0.001887321
bodyfat,AdaBoost,4,"489,0.8019752057846042",1,1,0,1,1,1,0.001427889,0.000391245
braziltourism,HGARF,0,"99,323,8, 3, 4,0.8806680002512666,0.9442311382706744",0.759036145,0.759036145,0.080363527,0.936935241,0.513394765,0.170995294,5.193492413,0.002949476
braziltourism,AdaBoost,0,"142,0.8714739421596404",0.771084337,0.771084337,0.064175282,0.929279618,0.607398504,0.186274454,0.261162996,0.023958683
braziltourism,HGARF,1,"64,323,8, 3, 4,0.7199227770865247,0.7115664433990424",0.759036145,0.759036145,0.107599571,0.885715941,0.658460203,0.174988021,5.424967289,0.00298214
braziltourism,AdaBoost,1,"431,1.2905368172827156",0.771084337,0.771084337,,1,0.566666667,0.166666667,0.79799962,0.070625305
braziltourism,HGARF,2,"61,323,8, 3, 4,0.71334394289607,0.23938185220870362",0.792682927,0.792682927,0.073465357,0.918445122,0.67906901,0.22688465,4.883790255,0.00292635
braziltourism,AdaBoost,2,"426,1.0520574151660012",0.792682927,0.792682927,0.105781391,0.975800305,0.6609375,0.348464997,0.779165983,0.068890572
braziltourism,HGARF,3,"74,323,8, 3, 4,0.9438843299206345,0.013160954168289107",0.792682927,0.792682927,0.080165174,0.93787784,0.621021571,0.253792356,5.202551842,0.002940178
braziltourism,AdaBoost,3,"125,0.9851268814454113",0.768292683,0.768292683,0.141616259,0.943379791,0.633638584,0.297786315,0.229362965,0.020539999
braziltourism,HGARF,4,"50,323,8, 3, 4,0.23056514975924014,0.8561358629721288",0.743902439,0.743902439,0.096638635,0.818383514,0.628500204,0.222249109,5.19188571,0.002925396
braziltourism,AdaBoost,4,"297,0.9380226066121675",0.707317073,0.707317073,0.216657818,0.830340391,0.487321937,0.2011886,0.54343462,0.048306704
breast-cancer,HGARF,0,"96,9,8, 3, 4,0.48216091835977215,0.8368251196410841",0.603448276,0.603448276,0.5975,0.723000049,0.395982783,0.483903552,2.661823034,0.002114058
breast-cancer,AdaBoost,0,"396,1.221318908129459",0.655172414,0.655172414,0.504201681,0.786276159,0.451219512,0.499120085,0.456509829,0.044720411
breast-cancer,HGARF,1,"50,9,8, 3, 4,0.1582546877242987,0.7049976720496485",0.736842105,0.736842105,0.294117647,0.874767802,0.697794118,0.563931889,2.486022949,0.002110481
breast-cancer,AdaBoost,1,"458,0.7535373440524501",0.771929825,0.771929825,0.122641509,0.946336429,0.673529412,0.609040637,0.527908564,0.051551104
breast-cancer,HGARF,2,"63,9,8, 3, 4,0.5304374604203159,0.4141071836845235",0.736842105,0.719298246,0.344405594,0.7500516,0.7125,0.579619697,2.472447872,0.002131462
breast-cancer,AdaBoost,2,"125,0.580003057408997",0.807017544,0.807017544,0.164540816,0.895949432,0.832352941,0.664648491,0.144313335,0.014462948
breast-cancer,HGARF,3,"61,9,8, 3, 4,0.5343186951174702,0.9259562037607879",0.631578947,0.631578947,0.40974026,0.61880805,0.563235294,0.552856439,2.746332407,0.002116919
breast-cancer,AdaBoost,3,"250,0.5160045452136675",0.526315789,0.526315789,0.462962963,0.546439628,0.514705882,0.520066506,0.288315773,0.028123379
breast-cancer,HGARF,4,"80,9,8, 3, 4,0.6448892837153057,0.2026135910279041",0.614035088,0.614035088,0.421994885,0.601341589,0.575735294,0.545092431,2.447229385,0.002111912
breast-cancer,AdaBoost,4,"143,0.5398500387139381",0.614035088,0.614035088,0.421994885,0.601341589,0.602941176,0.545092431,0.164514542,0.01640439
breast-cancer-wisc,HGARF,0,"67,9,8, 3, 4,0.5821528236116791,0.16971299276015994",0.907142857,0.907142857,0.087090416,0.915929089,0.988564312,0.848135996,6.438416719,0.007438183
breast-cancer-wisc,AdaBoost,0,"112,1.1463015711424656",0.885714286,0.885714286,0.103199174,0.902730331,0.951086957,0.814991463,0.179323196,0.024279594
breast-cancer-wisc,HGARF,1,"88,9,8, 3, 4,0.6293704496865459,0.4402817384268841",0.95,0.95,0.060255563,0.950271739,0.958899457,0.919390324,7.413117886,0.00738287
breast-cancer-wisc,AdaBoost,1,"184,0.5512511231676211",0.942857143,0.942857143,0.070628768,0.945225155,0.983469203,0.91127519,0.293706179,0.037843466
breast-cancer-wisc,HGARF,2,"74,9,8, 3, 4,0.14990427164002454,0.7518233437821119",0.971428571,0.971428571,0.031702899,0.971428571,0.990942029,0.951984268,7.286852837,0.007398129
breast-cancer-wisc,AdaBoost,2,"197,0.5187140913641707",0.985714286,0.985714286,0.02,0.986024845,0.996376812,0.976273292,0.322355032,0.040779114
breast-cancer-wisc,HGARF,3,"53,9,8, 3, 4,0.825443661113544,0.5161983280464143",0.985714286,0.985714286,0.010752688,0.986297376,0.999102938,0.975982006,7.841220379,0.007338285
breast-cancer-wisc,AdaBoost,3,"141,0.5251209827226743",0.978571429,0.978571429,0.021286232,0.978784481,0.997533079,0.964070001,0.224408627,0.029153347
breast-cancer-wisc,HGARF,4,"70,9,8, 3, 4,0.322305148680304,0.5867883200300847",0.985611511,0.985611511,0.010752688,0.986211031,0.999313187,0.975608223,6.875216722,0.007422686
breast-cancer-wisc,AdaBoost,4,"237,0.6204396143994328",0.985611511,0.985611511,0.010752688,0.986211031,0.995650183,0.975608223,0.378550053,0.049124956
breast-cancer-wisc-diag,HGARF,0,"95,30,8, 3, 4,0.6674311178708204,0.027606903517369427",0.947368421,0.947368421,0.056010481,0.947368421,0.976580413,0.917621254,6.980169535,0.006282568
breast-cancer-wisc-diag,AdaBoost,0,"294,0.596537135713804",0.964912281,0.964912281,0.037340321,0.964912281,0.994759253,0.94434163,0.758807898,0.05956769
breast-cancer-wisc-diag,HGARF,1,"79,30,8, 3, 4,0.9831852494383748,0.720768403943127",0.921052632,0.921052632,0.08234127,0.92157843,0.972813626,0.878317145,8.392942667,0.006295919
breast-cancer-wisc-diag,AdaBoost,1,"269,1.327824679329285",0.964912281,0.964912281,0.032743067,0.965889174,0.992793973,0.944015048,0.693990231,0.055036068
breast-cancer-wisc-diag,HGARF,2,"78,30,8, 3, 4,0.7045022494901264,0.6316887464790031",0.973684211,0.973684211,0.025893752,0.973980089,0.990244709,0.957281153,7.951849461,0.006530285
breast-cancer-wisc-diag,AdaBoost,2,"461,1.1105021877564858",1,1,0,1,1,1,1.219271183,0.097392797
breast-cancer-wisc-diag,HGARF,3,"85,30,8, 3, 4,0.2606738624622262,0.6484762819166137",0.98245614,0.98245614,0.013513514,0.983291562,0.984623016,0.971448893,7.275696039,0.006256104
breast-cancer-wisc-diag,AdaBoost,3,"154,1.3813390825672314",0.98245614,0.98245614,0.013513514,0.983291562,0.98478836,0.971448893,0.397042036,0.03153348
breast-cancer-wisc-diag,HGARF,4,"51,30,8, 3, 4,0.7590611191349421,0.7164154113512893",0.96460177,0.96460177,0.041337286,0.964928212,0.9981556,0.94444818,8.187845469,0.00625658
breast-cancer-wisc-diag,AdaBoost,4,"432,1.4165876589738116",0.991150442,0.991150442,0.006944444,0.991361146,0.999664655,0.985575572,1.114623785,0.087170601
breast-cancer-wisc-prog,HGARF,0,"51,33,8, 3, 4,0.34118768707292946,0.9906807156800492",0.775,0.775,0.355263158,0.924910394,0.589605735,0.522281173,4.11619544,0.00306344
breast-cancer-wisc-prog,AdaBoost,0,"370,1.0025525383134575",0.775,0.775,0.355263158,0.924910394,0.795698925,0.522281173,0.66782403,0.071787119
breast-cancer-wisc-prog,HGARF,1,"93,33,8, 3, 4,0.7163094306016108,0.7876176761065885",0.8,0.8,0.105263158,0.96,0.62,0.594736842,4.061801195,0.003050566
breast-cancer-wisc-prog,AdaBoost,1,"339,0.8811264781650217",0.825,0.825,0.231182796,0.8325,0.756666667,0.679435484,0.624103546,0.064971209
breast-cancer-wisc-prog,HGARF,2,"65,33,8, 3, 4,0.21671384880091657,0.003646371435871338",0.725,0.725,0.454954955,0.870833333,0.546666667,0.50731982,2.836023092,0.003039122
breast-cancer-wisc-prog,AdaBoost,2,"234,0.5158478373482858",0.825,0.825,0.218614719,0.8575,0.77,0.662031025,0.441517353,0.046349049
breast-cancer-wisc-prog,HGARF,3,"58,33,8, 3, 4,0.22164699274797506,0.4526944102560817",0.717948718,0.717948718,0.621621622,0.885470085,0.496296296,0.494178794,3.361627102,0.002980709
breast-cancer-wisc-prog,AdaBoost,3,"188,0.5002161659580703",0.717948718,0.717948718,0.439393939,0.767521368,0.67037037,0.519476819,0.346574068,0.03659749
breast-cancer-wisc-prog,HGARF,4,"68,33,8, 3, 4,0.12500724837167998,0.19299963681498233",0.769230769,0.769230769,0.340909091,0.812820513,0.725925926,0.566899767,3.028793573,0.003009558
breast-cancer-wisc-prog,AdaBoost,4,"215,0.9312559260172603",0.692307692,0.692307692,0.384615385,0.674074074,0.751851852,0.570940171,0.385284185,0.040371656
breast-tissue,HGARF,0,"70,9,8, 3, 4,0.38672402509955983,0.22043710577570774",0.681818182,0.681818182,0.058613445,0.787878788,0.884444444,0.514141414,2.311860561,0.002173424
breast-tissue,AdaBoost,0,"407,1.4965413908994836",0.772727273,0.772727273,0.042782201,0.848484848,0.891851852,0.635286195,0.597974062,0.078785896
breast-tissue,HGARF,1,"70,9,8, 3, 4,0.4783606401930983,0.07052984475924662",0.761904762,0.761904762,0.041666667,0.932539683,0.889467593,0.710978836,2.358701468,0.002152443
breast-tissue,AdaBoost,1,"279,0.9985103006363787",0.571428571,0.571428571,0.072619048,0.964285714,0.825,0.497710623,0.40524292,0.051471472
